Qty,Value,Device,Package,Parts,Description,Distrelec,Farnell,Alternative,Preis,PE,Remark
2,,JP2E,JP2,"JP1, JP2",JUMPER,124-50-887,,,0.15,25,
1,3.3V,REG1117,SOT223,IC1,800mA and 1A (LDO) Positive Regulator,300-41-532,,,0.67,3Stk,
1, ,S3B-PH-K-S,S3B-PH-K-S,UPDI,"JST PH  2.00mm pitch, 3 pins",143-01-945,,Aliexpress,0.2,10,
1,0,0.3OHM-1/8W-1%(0805),805,R7,RES-11622,301-58-958,,,0.07,25,
4,100n,CAP0603-CAP,603,"C2, C4, C5, C7",Capacitor,300-86-429,,,0.009,100,
1,100uF,C-EUC1206,1206,C9,"CAPACITOR, European symbol",167-70-804,,,0.9,5,
1,10k,0.3OHM-1/8W-1%(0805),805,R6,RES-11622,,,Lager,,,
2,10uF,C-EUC1206,1206,C1,"CAPACITOR, European symbol",167-73-261,,,0.33,10,
1,16MHz,CRYSTALTHIN,CRYSTAL_3.2X2.5,Q2,Crystals,,2509429,,1.33,,
2,18pF,CAP0603-CAP,603,"C12, C13",Capacitor,300-86-534,,,0.009,100,
3,1K,0.3OHM-1/8W-1%(0805),805,"R1, R2, R8",RES-11622,,,Lager,,,
2,27R,0.3OHM-1/8W-1%(0805),805,"R4, R5",RES-11622,,,Lager,,,
1,4.7k,0.3OHM-1/8W-1%(0805),805,R3,RES-11622,,,Lager,,,
2,47pF,CAP0603-CAP,603,"C6, C8",Capacitor,300-86-566,,,0.03,100,
1,CH330N,CH330N,SOIC8,U$9,,,,Aliexpress,,,
1,FT231XQ-x ,FT231X,QFN20_4MM,U2,FT231X USB UART IC,,2081330,,2,,
1,GREEN,LED0805_NOOUTLINE,805,LED2,LED,300-08-873,,Lager,,,
1,ISP,ISP CONNECTOR,ISP_PROG_REIHE_DIP,U$6,,143-65-375,,,1.05,3,
1,MEGA8-AI,MEGA8-AI,TQFP32-08,IC2,MICROCONTROLLER,173-67-212,9171371,,2.95 / 2.19,1,
1,RED,LED0805_NOOUTLINE,805,LED3,LED,175-18-709,,Lager,,,
1,USB A,USB_TYPEA_CLIENTTHM,USB_A-THM,X1,USB - Type A Connectors,300-65-154,2067044,,1.88 / 1.16,3,
1,YELLOW,LED0805_NOOUTLINE,805,LED1,LED,,,Lager,,,
